Linux 3.13.0-161-generic (cp-4.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/29/2020 	_x86_64_	(32 CPU)

02:39:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:39:21 PM     all      3.12      0.00      0.03      0.22      0.00     96.62
02:39:22 PM     all      3.12      0.00      0.00      0.00      0.00     96.88
02:39:23 PM     all      3.09      0.00      0.03      0.00      0.00     96.88
02:39:24 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:39:25 PM     all      3.12      0.00      0.00      0.00      0.00     96.88
02:39:26 PM     all      3.12      0.00      0.03      0.31      0.00     96.53
02:39:27 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:39:28 PM     all      3.16      0.00      0.03      0.00      0.00     96.81
02:39:29 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:39:30 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
02:39:31 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:39:32 PM     all      2.81      0.00      0.03      0.25      0.00     96.91
02:39:33 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:39:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:35 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:39:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:38 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
02:39:39 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:39:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:42 PM     all      2.32      0.00      0.85      0.00      0.00     96.84
02:39:43 PM     all      0.53      0.00      0.19      0.00      0.00     99.28
02:39:44 PM     all      0.00      0.00      0.03      0.38      0.00     99.59
02:39:45 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:39:46 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:39:47 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:39:48 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:39:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:50 PM     all      0.00      0.00      0.03      0.22      0.00     99.75
02:39:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:54 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:39:55 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
02:39:56 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
