Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/29/2020 	_x86_64_	(32 CPU)

02:39:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:39:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:25 PM     all      0.00      0.00      0.00      0.31      0.00     99.69
02:39:26 PM     all      1.50      0.00      0.69      0.00      0.00     97.81
02:39:27 PM     all      3.16      0.00      0.19      0.00      0.00     96.65
02:39:28 PM     all      3.10      0.00      0.00      0.00      0.00     96.90
02:39:29 PM     all      3.12      0.00      0.06      0.00      0.00     96.81
02:39:30 PM     all      3.12      0.00      0.09      0.00      0.00     96.78
02:39:31 PM     all      3.13      0.00      0.00      0.41      0.00     96.47
02:39:32 PM     all      3.12      0.00      0.00      0.00      0.00     96.88
02:39:33 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:39:34 PM     all      3.09      0.00      0.06      0.00      0.00     96.84
02:39:35 PM     all      0.47      0.00      0.28      0.00      0.00     99.25
02:39:36 PM     all      0.00      0.00      0.03      0.31      0.00     99.66
02:39:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
