Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/29/2020 	_x86_64_	(32 CPU)

02:40:52 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:40:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:40:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:40:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:40:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:40:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:40:58 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
02:40:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:04 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
02:41:05 PM     all      1.94      0.00      0.75      0.00      0.00     97.31
02:41:06 PM     all      3.19      0.00      0.25      0.00      0.00     96.56
02:41:07 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:41:08 PM     all      3.10      0.00      0.03      0.00      0.00     96.87
02:41:09 PM     all      3.16      0.00      0.00      0.34      0.00     96.50
02:41:10 PM     all      3.12      0.00      0.06      0.00      0.00     96.81
02:41:11 PM     all      3.09      0.00      0.00      0.00      0.00     96.91
02:41:12 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:41:13 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
02:41:14 PM     all      0.09      0.00      0.28      0.00      0.00     99.62
02:41:15 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
02:41:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
