Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

05:59:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:59:44 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
05:59:45 PM     all      0.03      0.00      0.03      0.31      0.00     99.63
05:59:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:59:47 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
05:59:48 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
05:59:49 PM     all      1.16      0.00      0.13      0.00      0.00     98.72
05:59:50 PM     all      0.78      0.00      0.06      0.00      0.00     99.16
05:59:51 PM     all      0.03      0.00      0.03      0.37      0.00     99.56
05:59:52 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
