Linux 3.13.0-161-generic (cp-2.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

08:50:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:50:07 PM     all      3.10      0.00      0.00      0.00      0.00     96.90
08:50:08 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
08:50:09 PM     all      3.16      0.00      0.03      0.00      0.00     96.81
08:50:10 PM     all      3.09      0.00      0.03      0.00      0.00     96.88
08:50:11 PM     all      3.13      0.00      0.03      0.00      0.00     96.84
08:50:12 PM     all      3.12      0.00      0.06      0.06      0.00     96.75
08:50:13 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
08:50:14 PM     all      1.28      0.00      0.03      0.00      0.00     98.69
08:50:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:18 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
08:50:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:21 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:22 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:24 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
08:50:25 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:26 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:27 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:29 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:30 PM     all      0.03      0.00      0.00      0.28      0.00     99.69
08:50:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:32 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:33 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:35 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:36 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
08:50:37 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:38 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:39 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:41 PM     all      0.22      0.00      0.09      0.00      0.00     99.69
08:50:42 PM     all      0.31      0.00      0.06      0.09      0.00     99.53
08:50:43 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:50:45 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:46 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:50:47 PM     all      0.00      0.00      0.03      0.38      0.00     99.59
08:50:48 PM     all      0.00      0.00      0.03      0.38      0.00     99.59
