Linux 3.13.0-161-generic (cp-2.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/29/2020 	_x86_64_	(32 CPU)

02:06:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:06:41 PM     all      3.09      0.00      0.03      0.00      0.00     96.87
02:06:42 PM     all      3.12      0.00      0.00      0.00      0.00     96.88
02:06:43 PM     all      3.13      0.00      0.03      0.00      0.00     96.84
02:06:44 PM     all      3.12      0.00      0.06      0.00      0.00     96.81
02:06:45 PM     all      3.12      0.00      0.00      0.12      0.00     96.75
02:06:46 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:06:47 PM     all      1.44      0.00      0.03      0.00      0.00     98.53
02:06:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:50 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
02:06:51 PM     all      0.00      0.00      0.00      0.03      0.00     99.97
02:06:52 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:06:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:54 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
02:06:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:56 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:06:57 PM     all      0.00      0.00      0.03      0.09      0.00     99.88
02:06:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:59 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:00 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:01 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:03 PM     all      0.00      0.00      0.03      0.06      0.00     99.91
02:07:04 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:07 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 PM     all      0.00      0.00      0.12      0.09      0.00     99.78
02:07:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:14 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
02:07:15 PM     all      0.00      0.00      0.00      0.09      0.00     99.91
02:07:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:18 PM     all      0.28      0.00      0.22      0.00      0.00     99.50
02:07:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:21 PM     all      0.00      0.00      0.00      0.12      0.00     99.88
02:07:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:23 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:25 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:26 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:27 PM     all      0.00      0.00      0.03      0.06      0.00     99.91
02:07:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:29 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:07:32 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:07:33 PM     all      0.00      0.00      0.00      0.06      0.00     99.94
02:07:34 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
02:07:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
