Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/29/2020 	_x86_64_	(32 CPU)

01:39:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:39:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:39:49 PM     all      0.00      0.00      0.03      0.44      0.00     99.53
01:39:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:39:51 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
01:39:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:39:53 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:39:54 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:39:55 PM     all      1.91      0.00      0.88      0.31      0.00     96.90
01:39:56 PM     all      3.22      0.00      0.16      0.00      0.00     96.62
01:39:57 PM     all      3.09      0.00      0.09      0.00      0.00     96.81
01:39:58 PM     all      3.09      0.00      0.03      0.00      0.00     96.87
01:39:59 PM     all      3.12      0.00      0.06      0.00      0.00     96.81
01:40:00 PM     all      3.09      0.00      0.06      0.38      0.00     96.47
01:40:01 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
01:40:02 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
01:40:03 PM     all      3.15      0.00      0.03      0.00      0.00     96.81
01:40:04 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
01:40:05 PM     all      3.13      0.00      0.00      0.31      0.00     96.56
01:40:06 PM     all      2.44      0.00      0.22      0.00      0.00     97.34
01:40:07 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
01:40:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:40:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:40:10 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:40:11 PM     all      0.00      0.00      0.00      0.12      0.00     99.88
