Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

10:00:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:00:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:09 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
10:00:10 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:12 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:14 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
10:00:15 PM     all      0.72      0.00      0.78      0.28      0.00     98.22
10:00:16 PM     all      3.22      0.00      0.69      0.00      0.00     96.09
10:00:17 PM     all      1.41      0.00      0.25      0.00      0.00     98.34
10:00:18 PM     all      0.03      0.00      0.12      0.00      0.00     99.84
10:00:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
