Linux 3.13.0-161-generic (cp-2.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

10:00:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:00:08 PM     all      3.12      0.00      0.06      0.00      0.00     96.81
10:00:09 PM     all      3.09      0.00      0.03      0.00      0.00     96.87
10:00:10 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
10:00:11 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
10:00:12 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
10:00:13 PM     all      3.12      0.00      0.06      0.31      0.00     96.50
10:00:14 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
10:00:15 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
10:00:16 PM     all      1.16      0.00      0.03      0.00      0.00     98.81
10:00:17 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:18 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
10:00:19 PM     all      0.03      0.00      0.06      0.28      0.00     99.62
10:00:20 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:21 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:22 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:24 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:25 PM     all      0.00      0.00      0.03      0.28      0.00     99.69
10:00:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:27 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:00:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:29 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:30 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:31 PM     all      0.00      0.00      0.03      0.06      0.00     99.91
10:00:32 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
10:00:33 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:00:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:35 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:36 PM     all      0.47      0.00      0.16      0.00      0.00     99.37
10:00:37 PM     all      0.00      0.00      0.03      0.34      0.00     99.62
10:00:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:39 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:00:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:00:42 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
