Linux 3.13.0-161-generic (cp-2.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

09:12:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:12:02 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
09:12:03 PM     all      3.12      0.00      0.00      0.00      0.00     96.88
09:12:04 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
09:12:05 PM     all      3.09      0.00      0.03      0.31      0.00     96.56
09:12:06 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
09:12:07 PM     all      3.12      0.00      0.00      0.00      0.00     96.88
09:12:08 PM     all      2.13      0.00      0.00      0.00      0.00     97.87
09:12:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:11 PM     all      0.00      0.00      0.00      0.31      0.00     99.69
09:12:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:17 PM     all      0.00      0.00      0.06      0.25      0.00     99.69
09:12:18 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:20 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
09:12:21 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:12:22 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:23 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
09:12:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:29 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
09:12:30 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:31 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:32 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:33 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:35 PM     all      0.00      0.00      0.00      0.31      0.00     99.69
09:12:36 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
09:12:37 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:38 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:39 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:40 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:12:41 PM     all      0.00      0.00      0.03      0.34      0.00     99.62
09:12:42 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:44 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:45 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:47 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
09:12:48 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:12:50 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:51 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:52 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:53 PM     all      0.03      0.00      0.00      0.28      0.00     99.69
09:12:54 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:12:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
