Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

09:00:12 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:00:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:00:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:00:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:00:16 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
09:00:17 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:00:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:00:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:00:20 PM     all      1.47      0.00      0.47      0.00      0.00     98.06
09:00:21 PM     all      3.13      0.00      0.03      0.00      0.00     96.84
09:00:22 PM     all      1.94      0.00      0.37      0.37      0.00     97.32
09:00:23 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
09:00:24 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:00:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
