Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

09:03:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:03:22 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:03:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:03:24 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:03:25 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:03:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:03:27 PM     all      0.00      0.00      0.00      0.31      0.00     99.69
09:03:28 PM     all      0.41      0.00      0.22      0.00      0.00     99.37
09:03:29 PM     all      3.22      0.00      0.28      0.00      0.00     96.49
09:03:30 PM     all      2.75      0.00      0.38      0.00      0.00     96.87
09:03:31 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
09:03:32 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
09:03:33 PM     all      0.00      0.00      0.00      0.41      0.00     99.59
09:03:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
