Linux 3.13.0-161-generic (cp-2.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/29/2020 	_x86_64_	(32 CPU)

02:49:02 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:49:03 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
02:49:04 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:49:05 PM     all      3.12      0.00      0.00      0.12      0.00     96.75
02:49:06 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:49:07 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
02:49:08 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
02:49:09 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
02:49:10 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
02:49:11 PM     all      2.41      0.00      0.00      0.03      0.00     97.56
02:49:12 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:17 PM     all      0.00      0.00      0.00      0.03      0.00     99.97
02:49:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:20 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:23 PM     all      0.00      0.00      0.03      0.06      0.00     99.91
02:49:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:25 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:26 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
02:49:27 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:29 PM     all      0.00      0.00      0.03      0.06      0.00     99.91
02:49:30 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:32 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:33 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:35 PM     all      0.00      0.00      0.00      0.06      0.00     99.94
02:49:36 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:37 PM     all      0.28      0.00      0.03      0.00      0.00     99.69
02:49:38 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:40 PM     all      0.00      0.00      0.03      0.16      0.00     99.81
02:49:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:42 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
02:49:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:44 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:45 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:46 PM     all      0.00      0.00      0.03      0.03      0.00     99.94
02:49:47 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
02:49:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:49:49 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
