Linux 3.13.0-161-generic (cp-2.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

07:56:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:56:34 PM     all      3.13      0.00      0.06      0.00      0.00     96.81
07:56:35 PM     all      3.13      0.00      0.00      0.09      0.00     96.78
07:56:36 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
07:56:37 PM     all      3.12      0.00      0.09      0.00      0.00     96.78
07:56:38 PM     all      3.12      0.00      0.00      0.00      0.00     96.88
07:56:39 PM     all      3.13      0.00      0.06      0.00      0.00     96.81
07:56:40 PM     all      0.50      0.00      0.00      0.03      0.00     99.47
07:56:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:56:42 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:56:43 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:56:44 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:56:45 PM     all      0.00      0.00      0.06      0.22      0.00     99.72
07:56:46 PM     all      0.03      0.00      0.03    134175797.84      0.00    100.16
07:56:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:56:48 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
07:56:49 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:56:50 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:56:51 PM     all      0.00      0.00      0.03      0.34      0.00     99.62
07:56:52 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:56:53 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:56:54 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:56:55 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:56:56 PM     all      0.00      0.00      0.03      0.25      0.00     99.72
07:56:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:56:58 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:56:59 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:57:00 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:57:01 PM     all      0.00      0.00      0.06      0.03      0.00     99.91
07:57:02 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
07:57:03 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:57:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:57:05 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
07:57:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:57:07 PM     all      0.03      0.00      0.06      0.03      0.00     99.88
07:57:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:57:09 PM     all      0.53      0.00      0.19      0.00      0.00     99.28
07:57:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:57:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:57:12 PM     all      0.03      0.00      0.00      0.59      0.00     99.38
07:57:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:57:14 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:57:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:57:16 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:57:17 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:57:18 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:57:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:57:20 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:57:21 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:57:22 PM     all      0.00      0.00      0.00      0.19      0.00     99.81
07:57:23 PM     all      0.00      0.00      0.00    134259683.96      0.00    100.19
07:57:24 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:57:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:57:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:57:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
