Linux 3.13.0-161-generic (cp-4.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

07:06:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:06:20 PM     all      3.12      0.00      0.09      0.00      0.00     96.78
07:06:21 PM     all      3.13      0.00      0.03      0.00      0.00     96.84
07:06:22 PM     all      3.16      0.00      0.06      0.28      0.00     96.50
07:06:23 PM     all      3.13      0.00      0.03      0.00      0.00     96.84
07:06:24 PM     all      3.09      0.00      0.06      0.00      0.00     96.84
07:06:25 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
07:06:26 PM     all      1.50      0.00      0.03      0.00      0.00     98.47
07:06:27 PM     all      0.03      0.00      0.00      0.28      0.00     99.69
07:06:28 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:06:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:06:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:06:31 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
07:06:32 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:06:33 PM     all      0.00      0.00      0.03      0.31      0.00     99.66
07:06:34 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:06:35 PM     all      0.34      0.00      0.13      0.00      0.00     99.53
07:06:36 PM     all      0.69      0.00      0.13      0.00      0.00     99.19
07:06:37 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:06:38 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:06:39 PM     all      0.00      0.00      0.00      0.09      0.00     99.91
07:06:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:06:41 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
07:06:42 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:06:43 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
