Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

10:22:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:22:32 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:22:33 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:22:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:22:35 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:22:36 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
10:22:37 PM     all      0.00      0.00      0.03      0.06      0.00     99.91
10:22:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:22:39 PM     all      1.06      0.00      0.19      0.00      0.00     98.75
10:22:40 PM     all      3.09      0.00      0.06      0.00      0.00     96.84
10:22:41 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
10:22:42 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
10:22:43 PM     all      3.12      0.00      0.03      0.16      0.00     96.69
10:22:44 PM     all      3.09      0.00      0.03      0.00      0.00     96.87
10:22:45 PM     all      3.16      0.00      0.00      0.00      0.00     96.84
10:22:46 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
10:22:47 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
10:22:48 PM     all      3.13      0.00      0.00      0.09      0.00     96.78
10:22:49 PM     all      1.97      0.00      0.34      0.00      0.00     97.69
10:22:50 PM     all      0.03      0.00      0.13      0.00      0.00     99.84
10:22:51 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:22:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
