Linux 3.13.0-161-generic (cp-2.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

04:35:18 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:35:19 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
04:35:20 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:35:21 PM     all      0.00      0.00      0.03      0.34      0.00     99.62
04:35:22 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:23 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:24 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:25 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:35:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:35:27 PM     all      0.03      0.00      0.06      0.09      0.00     99.81
04:35:28 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:29 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:30 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:31 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:32 PM     all      0.00      0.00      0.06      0.03      0.00     99.91
04:35:33 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:34 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:35:35 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:36 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:37 PM     all      0.00      0.00      0.00      0.06      0.00     99.94
04:35:38 PM     all      0.03      0.00      0.06      0.03      0.00     99.88
04:35:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:35:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:35:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:35:42 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:43 PM     all      0.03      0.00      0.00      0.25      0.00     99.72
04:35:44 PM     all      1.94      0.00      0.06      0.00      0.00     98.00
04:35:45 PM     all      0.84      0.00      0.03      0.00      0.00     99.12
04:35:46 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:35:47 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
04:35:48 PM     all      0.00      0.00      0.03      0.31      0.00     99.66
04:35:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:35:50 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
04:35:51 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:52 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:53 PM     all      0.03      0.00      0.00      0.19      0.00     99.78
04:35:54 PM     all      0.00      0.00      0.03      0.09      0.00     99.87
04:35:55 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:35:56 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
04:35:57 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
04:35:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:35:59 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
04:36:00 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
04:36:01 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
04:36:02 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:36:03 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:36:04 PM     all      0.00      0.00      0.06      0.25      0.00     99.69
04:36:05 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
04:36:06 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
04:36:07 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:36:08 PM     all      0.47      0.00      0.09      0.00      0.00     99.44
04:36:09 PM     all      0.00      0.00      0.00      0.34      0.00     99.66
04:36:10 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
04:36:11 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:36:12 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:36:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:36:14 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:36:15 PM     all      0.00      0.00      0.03      0.25      0.00     99.72
04:36:16 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:36:17 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:36:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:36:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:36:20 PM     all      0.03      0.00      0.03      0.28      0.00     99.66
04:36:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
