Linux 3.13.0-161-generic (cp-3.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

04:31:14 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:31:15 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:16 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:18 PM     all      0.00      0.00      0.03      0.28      0.00     99.69
04:31:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:20 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:31:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:23 PM     all      0.00      0.00      0.03      0.31      0.00     99.66
04:31:24 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
04:31:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:26 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:31:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:28 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
04:31:29 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
04:31:30 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
04:31:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:32 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:33 PM     all      0.00      0.00      0.00      0.03      0.00     99.97
04:31:34 PM     all      0.00      0.00      0.00    134301666.51      0.00    100.03
04:31:35 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:36 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:31:37 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:39 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
04:31:40 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:31:41 PM     all      2.31      0.00      0.03      0.00      0.00     97.65
04:31:42 PM     all      0.50      0.00      0.03      0.00      0.00     99.47
04:31:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:44 PM     all      0.03      0.00      0.03      0.03      0.00     99.91
04:31:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:46 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
04:31:47 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:48 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:49 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:51 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:31:52 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
04:31:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:54 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:55 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
04:31:56 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:31:57 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:31:58 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:31:59 PM     all      0.19      0.00      0.09      0.00      0.00     99.72
04:32:00 PM     all      0.28      0.00      0.06      0.13      0.00     99.53
04:32:01 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:32:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:03 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
04:32:04 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
04:32:05 PM     all      0.00      0.00      0.06      0.22      0.00     99.72
04:32:06 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:32:07 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
04:32:08 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
04:32:09 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
