Linux 3.13.0-161-generic (cp-1.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

01:44:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:44:44 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
01:44:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:44:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:44:47 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:44:48 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
01:44:49 PM     all      0.00      0.00      0.00      0.34      0.00     99.66
01:44:50 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:44:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:44:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:44:53 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:44:54 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:44:55 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
01:44:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:44:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:44:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:44:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:01 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
01:45:02 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
01:45:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:07 PM     all      0.00      0.00      0.00      0.31      0.00     99.69
01:45:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:10 PM     all      0.59      0.00      0.34      0.00      0.00     99.06
01:45:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:45:13 PM     all      0.00      0.00      0.00      0.31      0.00     99.69
01:45:14 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
