Linux 3.13.0-161-generic (cp-3.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/28/2020 	_x86_64_	(32 CPU)

01:46:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:46:20 PM     all      0.00      0.00      0.16      0.00      0.00     99.84
01:46:21 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:46:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:24 PM     all      0.00      0.00      0.03      0.12      0.00     99.84
01:46:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:26 PM     all      0.19      0.00      0.00      0.00      0.00     99.81
01:46:27 PM     all      2.60      0.00      0.00      0.00      0.00     97.40
01:46:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:30 PM     all      0.00      0.00      0.00      0.06      0.00     99.94
01:46:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:32 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:46:33 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:46:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:36 PM     all      0.00      0.00      0.03      0.09      0.00     99.88
01:46:37 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:46:38 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:46:39 PM     all      0.22      0.00      0.12      0.00      0.00     99.66
01:46:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:41 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:46:42 PM     all      0.00      0.00      0.00      0.16      0.00     99.84
01:46:43 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:46:44 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
01:46:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
01:46:46 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
