Linux 3.13.0-161-generic (cp-3.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/29/2020 	_x86_64_	(32 CPU)

03:19:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:01 PM     all      3.12      0.00      0.06      0.00      0.00     96.81
03:19:02 PM     all      3.09      0.00      0.00      0.00      0.00     96.91
03:19:03 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
03:19:04 PM     all      3.12      0.00      0.03      0.25      0.00     96.59
03:19:05 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
03:19:06 PM     all      3.13      0.00      0.03      0.00      0.00     96.84
03:19:07 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
03:19:08 PM     all      3.13      0.00      0.06      0.00      0.00     96.81
03:19:09 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
03:19:10 PM     all      3.12      0.00      0.03      0.09      0.00     96.75
03:19:11 PM     all      3.12      0.00      0.00      0.16      0.00     96.72
03:19:12 PM     all      0.84      0.00      0.03      0.00      0.00     99.12
03:19:13 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:14 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:16 PM     all      0.00      0.00      0.03      0.22      0.00     99.75
03:19:17 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:18 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:20 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:22 PM     all      0.00      0.00      0.03      0.25      0.00     99.72
03:19:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:24 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:26 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:19:27 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:28 PM     all      0.00      0.00      0.03      0.25      0.00     99.72
03:19:29 PM     all      2.79      0.00      0.53      0.00      0.00     96.68
03:19:30 PM     all      0.44      0.00      0.16      0.00      0.00     99.41
03:19:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:32 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:19:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:34 PM     all      0.00      0.00      0.03      0.31      0.00     99.66
03:19:35 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:37 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:39 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:40 PM     all      0.00      0.00      0.00      0.09      0.00     99.91
03:19:41 PM     all      0.00      0.00      0.03      0.16      0.00     99.81
03:19:42 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:19:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:44 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:19:45 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:46 PM     all      0.00      0.00      0.00      0.09      0.00     99.91
03:19:47 PM     all      0.00      0.00      0.00      0.13      0.00     99.87
03:19:48 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:49 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:50 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:52 PM     all      0.00      0.00      0.00      0.28      0.00     99.72
03:19:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:54 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:56 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:19:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:19:58 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
03:19:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:20:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
